,X1,Y1,Z1
0,0.029297,-0.947266,0.027344
1,0.033203,-0.947266,0.019531
2,0.046875,-0.945313,0.035156
3,0.050781,-0.943359,0.048828
4,0.044922,-0.947266,0.050781
5,0.033203,-0.941406,0.052734
6,0.019531,-0.931641,0.046875
7,0.015625,-0.939453,0.039063
8,0.023438,-0.935547,0.037109
9,0.027344,-0.929688,0.039063
10,0.037109,-0.939453,0.037109
11,0.046875,-0.953125,0.027344
12,0.039063,-0.966797,0.027344
13,0.029297,-0.964844,0.033203
14,0.017578,-0.962891,0.035156
15,0.017578,-0.962891,0.037109
16,0.027344,-0.958984,0.037109
17,0.03125,-0.957031,0.041016
18,0.039063,-0.955078,0.052734
19,0.041016,-0.970703,0.060547
20,0.033203,-0.978516,0.046875
21,0.019531,-0.951172,0.046875
22,0.023438,-0.941406,0.052734
23,0.041016,-0.945313,0.039063
24,0.042969,-0.953125,0.027344
25,0.048828,-0.955078,0.025391
26,0.044922,-0.957031,0.042969
27,0.037109,-0.957031,0.060547
28,0.033203,-0.949219,0.048828
29,0.03125,-0.949219,0.039063
30,0.029297,-0.964844,0.042969
31,0.029297,-0.980469,0.042969
32,0.033203,-0.96875,0.037109
33,0.037109,-0.964844,0.050781
34,0.025391,-0.962891,0.054688
35,0.021484,-0.949219,0.058594
36,0.019531,-0.945313,0.078125
37,0.011719,-0.939453,0.080078
38,0.021484,-0.9375,0.072266
39,0.029297,-0.943359,0.078125
40,0.041016,-0.943359,0.078125
41,0.041016,-0.947266,0.0625
42,0.039063,-0.949219,0.052734
43,0.037109,-0.9375,0.0625
44,0.019531,-0.941406,0.064453
45,0.021484,-0.953125,0.050781
46,0.035156,-0.941406,0.050781
47,0.039063,-0.933594,0.056641
48,0.025391,-0.929688,0.056641
49,0.023438,-0.919922,0.064453
50,0.042969,-0.925781,0.0625
51,0.042969,-0.935547,0.060547
52,0.041016,-0.945313,0.068359
53,0.037109,-0.980469,0.060547
54,0.023438,-1.0,0.052734
55,0.011719,-1.0,0.048828
56,0.003906,-0.986328,0.035156
57,0.007813,-0.9375,0.037109
58,0.005859,-0.921875,0.052734
59,0.021484,-0.941406,0.056641
60,0.039063,-0.955078,0.048828
61,0.025391,-0.951172,0.046875
62,0.025391,-0.939453,0.044922
63,0.035156,-0.931641,0.039063
64,0.027344,-0.929688,0.037109
65,0.021484,-0.939453,0.046875
66,0.033203,-0.951172,0.056641
67,0.046875,-0.941406,0.056641
68,0.048828,-0.929688,0.042969
69,0.039063,-0.919922,0.041016
70,0.03125,-0.921875,0.056641
71,0.03125,-0.931641,0.060547
72,0.013672,-0.931641,0.048828
73,0.011719,-0.9375,0.041016
74,0.029297,-0.947266,0.041016
75,0.046875,-0.943359,0.041016
76,0.050781,-0.927734,0.041016
77,0.041016,-0.914063,0.046875
78,0.042969,-0.908203,0.037109
79,0.035156,-0.916016,0.025391
80,0.03125,-0.923828,0.035156
81,0.037109,-0.919922,0.044922
82,0.035156,-0.923828,0.042969
83,0.037109,-0.935547,0.035156
84,0.039063,-0.931641,0.035156
85,0.03125,-0.933594,0.033203
86,0.025391,-0.947266,0.042969
87,0.013672,-0.949219,0.048828
88,0.005859,-0.958984,0.041016
89,0.023438,-0.953125,0.039063
90,0.041016,-0.933594,0.044922
91,0.041016,-0.917969,0.044922
92,0.042969,-0.925781,0.03125
93,0.039063,-0.949219,0.027344
94,0.037109,-0.955078,0.025391
95,0.037109,-0.949219,0.027344
96,0.041016,-0.945313,0.037109
97,0.046875,-0.947266,0.041016
98,0.029297,-0.949219,0.048828
99,0.017578,-0.945313,0.054688
100,0.029297,-0.943359,0.058594
101,0.044922,-0.96875,0.060547
102,0.054688,-0.96875,0.060547
103,0.035156,-0.939453,0.052734
104,0.021484,-0.935547,0.039063
105,0.033203,-0.947266,0.037109
106,0.025391,-0.953125,0.050781
107,0.019531,-0.939453,0.050781
108,0.025391,-0.921875,0.042969
109,0.03125,-0.908203,0.048828
110,0.035156,-0.916016,0.052734
111,0.039063,-0.929688,0.052734
112,0.037109,-0.925781,0.048828
113,0.035156,-0.921875,0.052734
114,0.048828,-0.921875,0.072266
115,0.046875,-0.931641,0.072266
116,0.035156,-0.941406,0.046875
117,0.03125,-0.945313,0.042969
118,0.033203,-0.951172,0.044922
119,0.041016,-0.939453,0.041016
120,0.041016,-0.929688,0.046875
121,0.039063,-0.925781,0.046875
122,0.039063,-0.923828,0.044922
123,0.033203,-0.931641,0.056641
124,0.037109,-0.923828,0.054688
125,0.042969,-0.933594,0.052734
126,0.039063,-0.951172,0.064453
127,0.035156,-0.949219,0.068359
128,0.03125,-0.945313,0.052734
129,0.035156,-0.941406,0.048828
130,0.029297,-0.941406,0.048828
131,0.029297,-0.935547,0.044922
132,0.027344,-0.935547,0.058594
133,0.015625,-0.941406,0.068359
134,0.019531,-0.939453,0.074219
135,0.037109,-0.939453,0.066406
136,0.039063,-0.929688,0.048828
137,0.041016,-0.929688,0.042969
138,0.041016,-0.943359,0.041016
139,0.029297,-0.949219,0.029297
140,0.033203,-0.951172,0.033203
141,0.035156,-0.931641,0.039063
142,0.03125,-0.919922,0.029297
143,0.035156,-0.921875,0.035156
144,0.037109,-0.923828,0.044922
145,0.044922,-0.929688,0.056641
146,0.042969,-0.933594,0.054688
147,0.037109,-0.929688,0.056641
148,0.033203,-0.931641,0.0625
149,0.03125,-0.943359,0.0625
150,0.03125,-0.962891,0.056641
151,0.054688,-0.980469,0.048828
152,0.074219,-0.984375,0.058594
153,0.070313,-0.978516,0.048828
154,0.066406,-0.966797,0.039063
155,0.072266,-0.964844,0.064453
156,0.064453,-0.970703,0.0625
157,0.035156,-0.957031,0.048828
158,0.011719,-0.957031,0.041016
159,0.009766,-0.960938,0.029297
160,0.023438,-0.939453,0.039063
161,0.023438,-0.935547,0.050781
162,0.015625,-0.941406,0.066406
163,0.019531,-0.947266,0.060547
164,0.019531,-0.949219,0.050781
165,0.027344,-0.941406,0.050781
166,0.033203,-0.939453,0.046875
167,0.035156,-0.929688,0.046875
168,0.039063,-0.921875,0.044922
169,0.041016,-0.912109,0.042969
170,0.048828,-0.902344,0.046875
171,0.042969,-0.917969,0.046875
172,0.035156,-0.9375,0.042969
173,0.037109,-0.941406,0.042969
174,0.023438,-0.933594,0.054688
175,0.009766,-0.929688,0.050781
176,0.015625,-0.931641,0.052734
177,0.019531,-0.933594,0.058594
178,0.03125,-0.9375,0.060547
179,0.029297,-0.941406,0.054688
180,0.023438,-0.935547,0.033203
181,0.027344,-0.931641,0.044922
182,0.035156,-0.941406,0.058594
183,0.042969,-0.9375,0.054688
184,0.037109,-0.925781,0.050781
185,0.037109,-0.929688,0.041016
186,0.042969,-0.939453,0.050781
187,0.042969,-0.949219,0.052734
188,0.039063,-0.943359,0.048828
189,0.037109,-0.935547,0.050781
190,0.042969,-0.941406,0.052734
191,0.039063,-0.943359,0.054688
192,0.03125,-0.941406,0.052734
193,0.03125,-0.947266,0.054688
194,0.027344,-0.9375,0.060547
195,0.021484,-0.923828,0.0625
196,0.025391,-0.923828,0.056641
197,0.029297,-0.917969,0.052734
198,0.029297,-0.931641,0.060547
199,0.033203,-0.935547,0.064453
200,0.041016,-0.941406,0.064453
201,0.039063,-0.941406,0.074219
202,0.033203,-0.921875,0.060547
203,0.033203,-0.921875,0.050781
204,0.027344,-0.888672,0.054688
205,0.025391,-0.894531,0.044922
206,0.027344,-0.923828,0.052734
207,0.027344,-0.921875,0.044922
208,0.039063,-0.917969,0.046875
209,0.039063,-0.914063,0.0625
210,0.029297,-0.929688,0.060547
211,0.025391,-0.921875,0.060547
212,0.021484,-0.917969,0.058594
213,0.025391,-0.923828,0.046875
214,0.029297,-0.917969,0.039063
215,0.03125,-0.917969,0.037109
216,0.029297,-0.921875,0.039063
217,0.027344,-0.929688,0.042969
218,0.019531,-0.927734,0.042969
219,0.015625,-0.933594,0.048828
220,0.033203,-0.9375,0.054688
221,0.048828,-0.925781,0.042969
222,0.042969,-0.929688,0.027344
223,0.033203,-0.933594,0.029297
224,0.029297,-0.925781,0.039063
225,0.027344,-0.929688,0.050781
226,0.029297,-0.9375,0.056641
227,0.025391,-0.943359,0.058594
228,0.027344,-0.949219,0.060547
229,0.037109,-0.953125,0.042969
230,0.041016,-0.951172,0.03125
231,0.039063,-0.945313,0.033203
232,0.041016,-0.953125,0.046875
233,0.039063,-0.955078,0.074219
234,0.03125,-0.958984,0.068359
235,0.023438,-0.966797,0.052734
236,0.017578,-0.962891,0.048828
237,0.021484,-0.960938,0.039063
238,0.025391,-0.955078,0.027344
239,0.019531,-0.960938,0.025391
240,0.023438,-0.962891,0.025391
241,0.025391,-0.962891,0.033203
242,0.025391,-0.982422,0.046875
243,0.033203,-0.988281,0.048828
244,0.03125,-0.974609,0.052734
245,0.029297,-0.960938,0.050781
246,0.029297,-0.949219,0.048828
247,0.041016,-0.943359,0.054688
248,0.044922,-0.947266,0.054688
249,0.035156,-0.953125,0.046875
250,0.03125,-0.943359,0.023438
251,0.015625,-0.939453,0.013672
252,-0.015625,-0.953125,0.015625
253,-0.021484,-0.980469,0.005859
254,-0.007813,-0.996094,0.011719
255,0.005859,-0.982422,0.037109
256,0.019531,-0.962891,0.044922
257,0.025391,-0.955078,0.042969
258,0.035156,-0.943359,0.037109
259,0.068359,-0.931641,0.033203
260,0.056641,-0.951172,0.046875
261,0.011719,-0.958984,0.048828
262,-0.007813,-0.947266,0.070313
263,0.001953,-0.933594,0.085938
264,0.033203,-0.917969,0.054688
265,0.029297,-0.919922,0.035156
266,0.03125,-0.919922,0.023438
267,0.044922,-0.931641,0.029297
268,0.027344,-0.947266,0.054688
269,0.015625,-0.951172,0.064453
270,0.017578,-0.951172,0.066406
271,0.03125,-0.947266,0.052734
272,0.046875,-0.9375,0.044922
273,0.037109,-0.933594,0.064453
274,0.015625,-0.939453,0.068359
275,0.003906,-0.943359,0.050781
276,0.009766,-0.947266,0.044922
277,0.015625,-0.9375,0.039063
278,0.015625,-0.945313,0.023438
279,0.027344,-0.966797,0.023438
280,0.027344,-0.962891,0.029297
281,0.033203,-0.957031,0.037109
282,0.035156,-0.943359,0.044922
283,0.025391,-0.933594,0.0625
284,0.03125,-0.939453,0.066406
285,0.025391,-0.943359,0.058594
286,0.013672,-0.951172,0.052734
287,0.011719,-0.947266,0.046875
288,0.001953,-0.957031,0.056641
289,-0.001953,-0.976563,0.0625
290,0.009766,-0.986328,0.060547
291,0.017578,-0.988281,0.046875
292,0.029297,-0.972656,0.048828
293,0.041016,-0.964844,0.050781
294,0.033203,-0.970703,0.048828
295,0.03125,-0.957031,0.0625
296,0.025391,-0.939453,0.058594
297,0.023438,-0.931641,0.054688
298,0.029297,-0.9375,0.060547
299,0.029297,-0.939453,0.056641
300,0.029297,-0.964844,0.064453
301,0.027344,-0.96875,0.074219
302,0.035156,-0.9375,0.058594
303,0.042969,-0.939453,0.046875
304,0.042969,-0.947266,0.019531
305,0.058594,-0.947266,-0.001953
306,0.056641,-0.943359,0.029297
307,0.046875,-0.9375,0.044922
308,0.044922,-0.962891,0.027344
309,0.033203,-0.982422,0.044922
310,0.017578,-0.972656,0.080078
311,0.03125,-0.958984,0.080078
312,0.039063,-0.962891,0.076172
313,0.015625,-0.960938,0.083984
314,0.013672,-0.947266,0.078125
315,0.011719,-0.951172,0.058594
316,0.007813,-0.964844,0.044922
317,0.023438,-0.962891,0.037109
318,0.03125,-0.958984,0.044922
319,0.021484,-0.96875,0.066406
320,0.013672,-0.964844,0.072266
321,0.015625,-0.943359,0.060547
322,0.025391,-0.9375,0.058594
323,0.019531,-0.947266,0.070313
324,0.009766,-0.949219,0.070313
325,0.023438,-0.945313,0.048828
326,0.033203,-0.949219,0.046875
327,0.029297,-0.955078,0.060547
328,0.03125,-0.955078,0.054688
329,0.027344,-0.949219,0.052734
330,0.019531,-0.945313,0.060547
331,0.033203,-0.955078,0.056641
332,0.033203,-0.962891,0.052734
333,0.019531,-0.966797,0.041016
334,0.019531,-0.972656,0.037109
335,0.033203,-0.957031,0.041016
336,0.041016,-0.939453,0.039063
337,0.054688,-0.943359,0.037109
338,0.056641,-0.949219,0.037109
339,0.044922,-0.951172,0.037109
340,0.054688,-0.949219,0.046875
341,0.056641,-0.945313,0.052734
342,0.050781,-0.933594,0.054688
343,0.046875,-0.925781,0.060547
344,0.041016,-0.9375,0.066406
345,0.035156,-0.939453,0.064453
346,0.033203,-0.945313,0.0625
347,0.03125,-0.953125,0.044922
348,0.027344,-0.957031,0.035156
349,0.025391,-0.962891,0.046875
350,0.035156,-0.966797,0.039063
351,0.037109,-0.953125,0.033203
352,0.048828,-0.931641,0.019531
353,0.056641,-0.939453,0.009766
354,0.041016,-0.957031,0.003906
355,0.009766,-0.976563,0.025391
356,-0.003906,-0.980469,0.054688
357,0.001953,-0.955078,0.046875
358,0.003906,-0.941406,0.023438
