,X2,Y2,Z2
0,-0.068359,-1.029297,-0.011719
1,-0.068359,-1.056641,-0.007813
2,-0.078125,-1.078125,-0.013672
3,-0.083984,-1.060547,-0.027344
4,-0.087891,-1.041016,-0.033203
5,-0.083984,-1.029297,-0.027344
6,-0.082031,-1.033203,-0.033203
7,-0.085938,-1.039063,-0.037109
8,-0.089844,-1.042969,-0.035156
9,-0.095703,-1.050781,-0.03125
10,-0.095703,-1.052734,-0.027344
11,-0.09375,-1.064453,-0.027344
12,-0.101563,-1.074219,-0.023438
13,-0.103516,-1.074219,-0.027344
14,-0.097656,-1.074219,-0.035156
15,-0.09375,-1.0625,-0.037109
16,-0.091797,-1.050781,-0.039063
17,-0.085938,-1.037109,-0.046875
18,-0.083984,-1.027344,-0.046875
19,-0.085938,-1.035156,-0.033203
20,-0.074219,-1.037109,-0.029297
21,-0.068359,-1.029297,-0.025391
22,-0.078125,-1.035156,-0.017578
23,-0.070313,-1.044922,-0.021484
24,-0.066406,-1.042969,-0.03125
25,-0.078125,-1.03125,-0.027344
26,-0.083984,-1.025391,-0.021484
27,-0.083984,-1.035156,-0.023438
28,-0.082031,-1.037109,-0.027344
29,-0.082031,-1.041016,-0.027344
30,-0.076172,-1.056641,-0.017578
31,-0.074219,-1.064453,-0.007813
32,-0.083984,-1.056641,-0.007813
33,-0.078125,-1.052734,-0.019531
34,-0.080078,-1.054688,-0.029297
35,-0.091797,-1.052734,-0.025391
36,-0.091797,-1.054688,-0.029297
37,-0.091797,-1.050781,-0.037109
38,-0.085938,-1.041016,-0.039063
39,-0.097656,-1.033203,-0.03125
40,-0.095703,-1.044922,-0.029297
41,-0.089844,-1.052734,-0.037109
42,-0.089844,-1.044922,-0.035156
43,-0.083984,-1.044922,-0.033203
44,-0.076172,-1.048828,-0.035156
45,-0.078125,-1.042969,-0.039063
46,-0.091797,-1.046875,-0.03125
47,-0.103516,-1.048828,-0.029297
48,-0.107422,-1.039063,-0.035156
49,-0.103516,-1.037109,-0.03125
50,-0.097656,-1.039063,-0.025391
51,-0.082031,-1.056641,-0.021484
52,-0.054688,-0.998047,-0.013672
53,-0.039063,-0.947266,-0.009766
54,-0.029297,-0.982422,0.007813
55,-0.048828,-1.021484,0.021484
56,-0.09375,-1.037109,0.019531
57,-0.085938,-1.029297,0.007813
58,-0.060547,-1.013672,0.009766
59,-0.058594,-1.033203,0.009766
60,-0.080078,-1.076172,-0.003906
61,-0.125,-1.060547,0.009766
62,-0.154297,-1.044922,-0.005859
63,-0.158203,-1.050781,-0.041016
64,-0.138672,-1.025391,-0.019531
65,-0.125,-0.998047,0.0
66,-0.111328,-1.001953,-0.011719
67,-0.095703,-1.025391,-0.023438
68,-0.087891,-1.039063,-0.027344
69,-0.085938,-1.042969,-0.023438
70,-0.082031,-1.041016,-0.027344
71,-0.080078,-1.041016,-0.041016
72,-0.080078,-1.044922,-0.039063
73,-0.085938,-1.039063,-0.023438
74,-0.089844,-1.044922,-0.015625
75,-0.078125,-1.050781,-0.023438
76,-0.076172,-1.048828,-0.033203
77,-0.095703,-1.046875,-0.035156
78,-0.097656,-1.039063,-0.037109
79,-0.089844,-1.035156,-0.039063
80,-0.087891,-1.039063,-0.039063
81,-0.087891,-1.044922,-0.041016
82,-0.087891,-1.042969,-0.039063
83,-0.080078,-1.035156,-0.035156
84,-0.074219,-1.023438,-0.044922
85,-0.083984,-1.013672,-0.048828
86,-0.083984,-1.021484,-0.042969
87,-0.083984,-1.023438,-0.03125
88,-0.095703,-1.025391,-0.019531
89,-0.099609,-1.037109,-0.015625
90,-0.09375,-1.039063,-0.023438
91,-0.080078,-1.039063,-0.041016
92,-0.076172,-1.046875,-0.039063
93,-0.080078,-1.048828,-0.039063
94,-0.082031,-1.050781,-0.048828
95,-0.074219,-1.042969,-0.042969
96,-0.072266,-1.017578,-0.042969
97,-0.072266,-1.009766,-0.044922
98,-0.070313,-1.025391,-0.039063
99,-0.072266,-1.035156,-0.033203
100,-0.095703,-1.001953,-0.03125
101,-0.091797,-0.988281,-0.03125
102,-0.068359,-0.992188,-0.019531
103,-0.050781,-0.992188,-0.021484
104,-0.052734,-1.027344,-0.039063
105,-0.082031,-1.021484,-0.037109
106,-0.089844,-0.996094,-0.041016
107,-0.103516,-1.035156,-0.058594
108,-0.087891,-1.082031,-0.046875
109,-0.083984,-1.066406,-0.056641
110,-0.082031,-1.023438,-0.068359
111,-0.068359,-1.033203,-0.074219
112,-0.087891,-1.080078,-0.076172
113,-0.111328,-1.095703,-0.054688
114,-0.117188,-1.078125,-0.056641
115,-0.089844,-1.076172,-0.056641
116,-0.066406,-1.082031,-0.037109
117,-0.076172,-1.068359,-0.027344
118,-0.083984,-1.054688,-0.027344
119,-0.083984,-1.050781,-0.029297
120,-0.083984,-1.060547,-0.03125
121,-0.082031,-1.064453,-0.039063
122,-0.074219,-1.052734,-0.037109
123,-0.078125,-1.037109,-0.029297
124,-0.089844,-1.015625,-0.025391
125,-0.089844,-1.019531,-0.023438
126,-0.087891,-1.039063,-0.029297
127,-0.085938,-1.039063,-0.046875
128,-0.083984,-1.029297,-0.048828
129,-0.082031,-1.03125,-0.044922
130,-0.085938,-1.039063,-0.037109
131,-0.091797,-1.039063,-0.03125
132,-0.095703,-1.035156,-0.03125
133,-0.091797,-1.039063,-0.033203
134,-0.082031,-1.042969,-0.044922
135,-0.091797,-1.042969,-0.058594
136,-0.109375,-1.041016,-0.056641
137,-0.101563,-1.03125,-0.042969
138,-0.082031,-1.025391,-0.044922
139,-0.068359,-1.017578,-0.048828
140,-0.076172,-1.021484,-0.039063
141,-0.085938,-1.039063,-0.035156
142,-0.080078,-1.044922,-0.039063
143,-0.074219,-1.037109,-0.044922
144,-0.083984,-1.029297,-0.044922
145,-0.082031,-1.023438,-0.041016
146,-0.082031,-1.017578,-0.037109
147,-0.085938,-1.021484,-0.035156
148,-0.091797,-1.037109,-0.035156
149,-0.09375,-1.042969,-0.039063
150,-0.070313,-1.044922,-0.054688
151,-0.066406,-1.078125,-0.050781
152,-0.068359,-1.080078,-0.035156
153,-0.044922,-1.037109,-0.056641
154,-0.011719,-1.052734,-0.080078
155,-0.027344,-1.121094,-0.074219
156,-0.072266,-1.132813,-0.056641
157,-0.060547,-1.070313,-0.023438
158,-0.029297,-1.035156,-0.03125
159,-0.039063,-1.068359,-0.041016
160,-0.0625,-1.09375,-0.027344
161,-0.089844,-1.089844,-0.025391
162,-0.123047,-1.087891,0.001953
163,-0.113281,-1.076172,0.009766
164,-0.113281,-1.072266,-0.001953
165,-0.126953,-1.082031,-0.007813
166,-0.107422,-1.074219,-0.019531
167,-0.087891,-1.044922,-0.013672
168,-0.082031,-1.037109,-0.019531
169,-0.078125,-1.03125,-0.025391
170,-0.074219,-1.03125,-0.015625
171,-0.082031,-1.041016,-0.021484
172,-0.076172,-1.046875,-0.033203
173,-0.066406,-1.033203,-0.03125
174,-0.072266,-1.021484,-0.029297
175,-0.087891,-1.035156,-0.023438
176,-0.09375,-1.054688,-0.023438
177,-0.089844,-1.056641,-0.019531
178,-0.089844,-1.050781,-0.023438
179,-0.080078,-1.048828,-0.03125
